gen	idx	N	D	K_hh	K_iter	alpha_ahebb	alpha_reflect	routing_mode	polarizer_alpha	accuracy	fitness	flops_M	params	best_epoch	elapsed_s	error
3	0	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.955414	1.050955	0.983	67744	19	48.1	
3	1	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.958471	1.054318	0.983	67744	19	48.0	
3	2	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.951338	1.046471	0.983	67744	19	48.0	
3	3	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.945478	1.040025	0.983	67744	19	52.2	
3	4	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.948280	1.043108	0.983	67744	20	52.3	
3	5	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.950318	1.045350	0.983	67744	15	52.3	
3	6	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.938599	1.032459	0.983	67744	20	55.3	
3	7	2048	16	2	5	1.0	0.5	delta_proj	1.0	0.941656	1.035822	0.983	67744	20	52.2	
3	8	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.940637	1.034701	0.983	67744	17	55.3	
3	9	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.939618	1.033580	0.983	67744	19	55.3	
3	10	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.946752	1.041427	0.983	67744	20	55.3	
3	11	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.947516	1.042267	0.983	67744	19	55.3	
3	12	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.944204	1.038624	0.983	67744	20	55.3	
3	13	2048	16	2	5	1.0	0.5	standard	0.5	0.919745	1.011720	0.983	67744	19	38.9	
3	14	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.941656	1.035822	0.983	67744	17	55.4	
3	15	2048	16	2	5	1.0	0.5	wpos_proj	0.5	0.916688	1.008357	0.983	67744	17	55.3	
3	16	2048	16	2	5	1.0	0.5	standard	0.0	0.920510	1.012561	0.983	67744	19	38.9	
3	17	2048	16	2	5	1.0	0.5	wpos_proj	1.0	0.929936	1.022930	0.983	67744	20	55.4	
3	18	2048	16	2	5	1.0	0.5	wpos_proj	0.5	0.920764	1.012841	0.983	67744	20	55.3	
3	19	2048	16	2	5	1.0	0.5	standard	0.0	0.922548	1.014803	0.983	67744	18	38.9	
3	20	2048	16	2	5	1.0	0.5	wpos_proj	0.5	0.922548	1.014803	0.983	67744	19	55.3	
3	21	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.951592	1.046752	0.983	67744	20	52.3	
3	22	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.947006	1.041707	0.983	67744	20	55.3	
3	23	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.935032	1.028535	0.983	67744	19	55.3	
3	24	2048	16	2	5	1.0	0.5	wpos_proj	0.5	0.930446	1.023490	0.983	67744	18	55.3	
3	25	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.934268	1.027694	0.983	67744	20	55.3	
3	26	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.940382	1.034420	0.983	67744	20	55.3	
3	27	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.943694	1.038064	0.983	67744	20	55.3	
3	28	2048	16	2	5	1.0	0.5	wpos_proj	1.0	0.933248	1.026573	0.983	67744	20	55.3	
3	29	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.946497	1.041147	0.983	67744	18	52.2	
3	30	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.949299	1.044229	0.983	67744	20	52.2	
